info:    Executing command location list
info:    Getting Resource Providers
data:    Name                                                                Location                                                                                                                                                   
data:    ------------------------------------------------------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------
data:    Microsoft.ApiManagement/service                                     North Central US,East US,West US,North Europe,West Europe,East Asia                                                                                        
data:    Microsoft.Batch/batchAccounts                                       West Europe,East US,East US 2,West US,North Central US,Brazil South,North Europe,Central US,East Asia,Japan East,Japan West,Southeast Asia,South Central US
data:    Microsoft.Cache/Redis                                               North Central US,South Central US,Central US,West Europe,North Europe,West US,East US,East US 2,Japan East,Japan West,Brazil South,Southeast Asia,East Asia
data:    Microsoft.Cache/Redis/metricDefinitions                             North Central US,South Central US,East US,East US 2,West US,Central US,East Asia,Southeast Asia,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    Microsoft.Cache/Redis/diagnosticSettings                            East US,East US 2,North Central US,North Europe,West Europe,Brazil South,West US,Central US,South Central US,Japan East,Japan West,East Asia,Southeast Asia
data:    microsoft.classiccompute/domainNames                                East Asia,Southeast Asia,East US,East US 2,West US,North Central US,South Central US,Central US,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    microsoft.classiccompute/domainNames/slots                          East Asia,Southeast Asia,East US,East US 2,West US,North Central US,South Central US,Central US,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    microsoft.classiccompute/domainNames/slots/roles                    East Asia,Southeast Asia,East US,East US 2,West US,North Central US,South Central US,Central US,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    microsoft.classiccompute/virtualMachines                            East Asia,Southeast Asia,East US,East US 2,West US,North Central US,South Central US,Central US,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    microsoft.classiccompute/virtualMachines/diagnosticSettings         East US,East US 2,North Central US,North Europe,West Europe,Brazil South,West US,Central US,South Central US,Japan East,Japan West,East Asia,Southeast Asia
data:    microsoft.classiccompute/virtualMachines/metricDefinitions          East US,East US 2,North Central US,North Europe,West Europe,Brazil South,West US,Central US,South Central US,Japan East,Japan West,East Asia,Southeast Asia
data:    microsoft.classiccompute/virtualMachines/metrics                    North Central US,South Central US,East US,East US 2,West US,Central US,East Asia,Southeast Asia,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    microsoft.classicstorage/storageAccounts                            East Asia,Southeast Asia,East US,East US 2,West US,North Central US,South Central US,Central US,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    microsoft.classicstorage/storageAccounts/services                   West US,Central US,South Central US,Japan East,Japan West,East Asia,Southeast Asia,East US,East US 2,North Central US,North Europe,West Europe,Brazil South
data:    Microsoft.Compute/availabilitySets                                  East US,East US 2,West US,Central US,North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South
data:    Microsoft.Compute/virtualMachines                                   East US,East US 2,West US,Central US,North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South
data:    Microsoft.Compute/virtualMachines/extensions                        East US,East US 2,West US,Central US,North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South
data:    Microsoft.Compute/virtualMachines/diagnosticSettings                East US,East US 2,West US,Central US,North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South
data:    Microsoft.Compute/virtualMachines/metricDefinitions                 East US,East US 2,West US,Central US,North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South
data:    Microsoft.Compute/locations/operations                              East US,East US 2,West US,Central US,North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South
data:    Microsoft.Compute/locations/vmSizes                                 East US,East US 2,West US,Central US,North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South
data:    Microsoft.Compute/locations/usages                                  East US,East US 2,West US,Central US,North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South
data:    Microsoft.Compute/locations/publishers                              East US,East US 2,West US,Central US,North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South
data:    Microsoft.DataFactory/dataFactories                                 West US,North Europe,East US,East US 2,North Central US,West Europe,Brazil South,Central US,South Central US,Japan East,Japan West,East Asia,Southeast Asia
data:    Microsoft.DataFactory/dataFactories/diagnosticSettings              East US,East US 2,North Central US,North Europe,West Europe,Brazil South,West US,Central US,South Central US,Japan East,Japan West,East Asia,Southeast Asia
data:    Microsoft.DataFactory/dataFactories/metricDefinitions               East US,East US 2,North Central US,North Europe,West Europe,Brazil South,West US,Central US,South Central US,Japan East,Japan West,East Asia,Southeast Asia
data:    microsoft.insights/components                                       Central US                                                                                                                                                 
data:    microsoft.insights/webtests                                         Central US                                                                                                                                                 
data:    microsoft.insights/queries                                          Central US                                                                                                                                                 
data:    microsoft.insights/alertrules                                       West US,East US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,North Central US,South Central US,East US 2,Central US,Brazil South
